场景名称,标准问题,扩展问题,答案
【社保】城乡养老转入企业养老（转入办理）,城乡居民基本养老保险关系转入企业职工基本养老保险（转入办理）,我想把之前参加的农村养老保险转移到企业职工养老保险上,请问您要咨询的是城乡居民基本养老保险关系转入企业职工基本养老保险的适用范围、办理条件、办理流程、所需材料、办理时间、办理方式还是办结时限？
【社保】城乡养老转入企业养老（转入办理）,城乡居民基本养老保险关系转入企业职工基本养老保险（转入办理）,城乡居民养老保险转入企业职工基本养老保险,请问您要咨询的是城乡居民基本养老保险关系转入企业职工基本养老保险的适用范围、办理条件、办理流程、所需材料、办理时间、办理方式还是办结时限？
【社保】城乡养老转入企业养老（转入办理）,城乡居民基本养老保险关系转入企业职工基本养老保险（转入办理）,居民养老怎么转移到职工养老保险上,请问您要咨询的是城乡居民基本养老保险关系转入企业职工基本养老保险的适用范围、办理条件、办理流程、所需材料、办理时间、办理方式还是办结时限？
【社保】城乡养老转入企业养老（转入办理）,城乡居民基本养老保险关系转入企业职工基本养老保险（转入办理）,农村养老保险转移到企业职工养老保险,请问您要咨询的是城乡居民基本养老保险关系转入企业职工基本养老保险的适用范围、办理条件、办理流程、所需材料、办理时间、办理方式还是办结时限？
【社保】城乡养老转入企业养老（转入办理）,城乡居民基本养老保险关系转入企业职工基本养老保险（转入办理）,新农合养老保险转移到职工养老保险,请问您要咨询的是城乡居民基本养老保险关系转入企业职工基本养老保险的适用范围、办理条件、办理流程、所需材料、办理时间、办理方式还是办结时限？
【社保】城乡养老转入企业养老（转入办理）,[t_地市名称]城乡居民基本养老保险关系转入企业职工基本养老保险办理方式,[t_地市名称]通过什么渠道办理农村养老保险转入职工养老保险,"[answer]
execut:city=省级 THEN answer=""省本级城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
【社保】城乡养老转入企业养老（转入办理）,[t_地市名称]城乡居民基本养老保险关系转入企业职工基本养老保险办理方式,[t_地市名称]有没有网上办理方式办理农保转入职工养老保险,"[answer]
execut:city=省级 THEN answer=""省本级城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
【社保】城乡养老转入企业养老（转入办理）,[t_地市名称]城乡居民基本养老保险关系转入企业职工基本养老保险办理方式,[t_地市名称]居民养老保险转入职工养老保险的办理途径,"[answer]
execut:city=省级 THEN answer=""省本级城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
【社保】城乡养老转入企业养老（转入办理）,[t_地市名称]城乡居民基本养老保险关系转入企业职工基本养老保险办理方式,[t_地市名称]居民养老保险转移到职工养老保险的办理方式有哪些,"[answer]
execut:city=省级 THEN answer=""省本级城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
【社保】城乡养老转入企业养老（转入办理）,[t_地市名称]城乡居民基本养老保险关系转入企业职工基本养老保险办理方式,[t_地市名称]到哪里办理农村养老保险转入城镇职工养老保险,"[answer]
execut:city=省级 THEN answer=""省本级城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
