场景名称,节点名称,答案
【社保】城乡养老转入企业养老（转入办理）,办理流程,城乡居民基本养老保险关系转入企业职工基本养老保险的办理流程：参保人员达到城镇职工养老保险法定退休年龄，城镇职工养老保险缴费年限满15年（含延长缴费15年）的，如有分别参加城镇职工养老保险、城乡居民养老保险情形，参保人员或其参保单位向确定的企业职工基本养老保险待遇领取地社会保险经办机构提出城乡居民基本养老保险关系转入企业职工基本养老保险的申请，转入地受理机构审核后，为符合转入条件的参保人员出具城乡养老保险制度衔接联系函并邮寄至转出地城乡居民社会保险经办机构；转入地受理机构收到转出地受理机构出具的城乡居民基本养老保险信息表及转移资金后，为参保人员办理城乡居民基本养老保险关系转入手续。
【社保】城乡养老转入企业养老（转入办理）,办结时限,参保人员办理城乡居民基本养老保险关系转入企业职工基本养老保险的办结时限为：45个工作日。
【社保】城乡养老转入企业养老（转入办理）,城转企缴费年限计算处理方法,"城乡居民基本养老保险转入企业职工基本养老保险缴费年限计算的处理方法：参保人员从城乡居民养老保险转入城镇职工养老保险，其参加城乡居民养老保险的缴费年限不折算为城镇职工养老保险缴费年限。
"
【社保】城乡养老转入企业养老（转入办理）,所需材料,城乡居民基本养老保险关系转入企业职工基本养老保险所需材料：由企业社保经办人员或参保人员向城镇职工养老保险待遇领取地社保机构提出转入申请，填写《城乡养老保险制度衔接申请表》，出示社会保障卡或居民身份证并提交复印件。
【社保】城乡养老转入企业养老（转入办理）,1+13对应地市办理方式,"[answer]
execut:city=省级 THEN answer=""省本级城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市城乡居民基本养老保险关系转入企业职工基本养老保险办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在企业职工基本养老保险待遇领取地社会保险经办机构窗口办理。城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
【社保】城乡养老转入企业养老（转入办理）,办理条件,城乡居民基本养老保险关系转入企业职工基本养老保险的办理条件：参加城镇职工养老保险和城乡居民养老保险人员，达到城镇职工养老保险法定退休年龄后，城镇职工养老保险缴费年限满15年（含延长缴费至15年）的，可以申请从城乡居民养老保险转入城镇职工养老保险，按照城镇职工养老保险办法计发相应待遇。
【社保】城乡养老转入企业养老（转入办理）,办理时间,城乡居民基本养老保险关系转入企业职工基本养老保险办理时间：工作日时间均可办理。
【社保】城乡养老转入企业养老（转入办理）,办理方式,请问您企业职工基本养老保险待遇领取地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
【社保】城乡养老转入企业养老（转入办理）,城转企重复参保的处理方法,"城乡居民基本养老保险和企业职工基本养老保险重复参保的处理方法：参保人员办理城镇职工养老保险与城乡居民养老保险制度衔接手续时，若在同一年度内出现重复参加城镇职工养老保险与城乡居民养老保险的，按月退还城乡居民养老保险重复时段缴费，将重复时段相应个人缴费和集体补助金额退还本人。
"
【社保】城乡养老转入企业养老（转入办理）,城转企个人账户资金转移处理方法,"城乡居民基本养老保险转入企业职工基本养老保险个人账户资金转移的处理方法：参保人员从城乡居民养老保险转入城镇职工养老保险，个人账户储存额全部转移，合并累计计算。
"
